"","lngitude","latitude","pollinator"
"763",-117.5015161,36.89720581,"synthetica"
"95",-117.5365897,37.36718717,"synthetica"
"568",-117.4840453,34.31255496,"synthetica"
"226",-117.469778,34.42649434,"synthetica"
"586",-117.4844788,34.90608835,"synthetica"
"30",-117.4838954,35.23492173,"synthetica"
"647",-117.4928315,35.94076416,"synthetica"
"728",-117.4883247,36.61739922,"synthetica"
"93",-117.4780427,37.45034579,"synthetica"
"227",-117.4303482,34.42669853,"synthetica"
"256",-117.4082407,34.5680522,"synthetica"
"257",-117.4236671,34.61280125,"synthetica"
"258",-117.442296,34.66776734,"synthetica"
"268",-117.4467695,34.72753081,"synthetica"
"783",-117.4383245,36.78685565,"synthetica"
"92",-117.426852,37.44265925,"synthetica"
"84",-117.4013957,37.75813993,"synthetica"
"579",-117.3898287,34.41420497,"synthetica"
"254",-117.3995016,34.47367867,"synthetica"
"255",-117.3994241,34.52577866,"synthetica"
"270",-117.358706,34.73239014,"synthetica"
"780",-117.3532721,36.45165597,"synthetica"
"841",-117.3847956,37.3554553,"synthetica"
"91",-117.3676511,37.44462514,"synthetica"
"86",-117.3694578,37.73680177,"synthetica"
"82",-117.3567314,37.82602672,"synthetica"
"593",-117.3322953,34.48993831,"synthetica"
"77",-117.3435444,37.3877914,"synthetica"
"90",-117.3208099,37.44496385,"synthetica"
"228",-117.2509381,34.38082437,"synthetica"
"606",-117.281262,34.56653833,"synthetica"
"658",-117.2794793,35.42282783,"synthetica"
"895",-117.2573622,37.07385528,"synthetica"
"65",-117.2706115,37.27827353,"synthetica"
"1065",-117.2633623,37.74110535,"synthetica"
"229",-117.248091,34.35650176,"synthetica"
"230",-117.2073492,34.42350997,"synthetica"
"614",-117.216862,34.47145499,"synthetica"
"618",-117.2340953,34.62295501,"synthetica"
"69",-117.2097553,37.23611533,"synthetica"
"57",-117.2475069,37.29464725,"synthetica"
"54",-117.224739,37.30194621,"synthetica"
"76",-117.2280992,37.46598424,"synthetica"
"79",-117.2026788,37.57436426,"synthetica"
"81",-117.2166224,37.64839047,"synthetica"
"231",-117.1864214,34.42080504,"synthetica"
"617",-117.196662,34.47152166,"synthetica"
"272",-117.1534646,34.98256396,"synthetica"
"271",-117.1890802,35.02064094,"synthetica"
"71",-117.1914261,37.22781347,"synthetica"
"52",-117.1853263,37.30907694,"synthetica"
"73",-117.1524005,37.4098933,"synthetica"
"75",-117.1923817,37.49596371,"synthetica"
"78",-117.1942251,37.5374113,"synthetica"
"236",-117.1211422,34.3880463,"synthetica"
"233",-117.1331517,34.414815,"synthetica"
"274",-117.1054655,34.99431799,"synthetica"
"48",-117.1392322,37.33226858,"synthetica"
"72",-117.1314068,37.3757326,"synthetica"
"241",-117.0855439,34.34787419,"synthetica"
"275",-117.0897469,34.98524969,"synthetica"
"45",-117.0994199,37.34428345,"synthetica"
"277",-117.0442046,34.97866906,"synthetica"
"726",-117.030862,35.00968839,"synthetica"
"681",-116.9512369,34.443866,"synthetica"
"280",-116.9888561,34.96955165,"synthetica"
"683",-116.9479739,34.443866,"synthetica"
"250",-116.8583469,34.36512817,"synthetica"
"711",-116.8842959,34.443809,"synthetica"
"244",-116.80373,34.29376565,"synthetica"
"245",-116.8080563,34.31116212,"synthetica"
"249",-116.846871,34.35206975,"synthetica"
"755",-116.8146409,34.43440701,"synthetica"
"771",-116.8073119,34.47675501,"synthetica"
"784",-116.7635659,34.42101901,"synthetica"
"800",-116.7050609,34.39919801,"synthetica"
"792",-116.7307699,34.41561601,"synthetica"
"804",-116.6788149,34.39250301,"synthetica"
"817",-116.6228839,34.36976001,"synthetica"
"824",-116.5875649,34.36919201,"synthetica"
"1092",-116.5634454,36.82587197,"synthetica"
"877",-116.5108429,34.34509601,"synthetica"
"845",-116.5263849,34.35017501,"synthetica"
"1008",-116.4616838,34.29522601,"synthetica"
"916",-116.4828688,34.32565501,"synthetica"
"1382",-116.460284,37.17343039,"synthetica"
"5360",-116.4005901,34.02261567,"synthetica"
"5136",-116.4038612,34.06212993,"synthetica"
"932",-116.4188788,34.149545,"synthetica"
"940",-116.4238088,34.167849,"synthetica"
"973",-116.4395248,34.225939,"synthetica"
"997",-116.4498398,34.27672001,"synthetica"
"5219",-116.3617299,34.0400271,"synthetica"
"5113",-116.3871423,34.0614152,"synthetica"
"1059",-116.3773047,34.2663065,"synthetica"
"5496",-116.3486057,33.98873897,"synthetica"
"5440",-116.3147186,34.00098036,"synthetica"
"5167",-116.3446905,34.05366122,"synthetica"
"1053",-116.3420451,34.140355,"synthetica"
"1060",-116.3432175,34.20490296,"synthetica"
"1087",-116.3482952,35.57027184,"antithetica"
"1095",-116.3298475,36.87177175,"synthetica"
"1407",-116.3333521,37.147945,"synthetica"
"1400",-116.3492416,37.16410315,"synthetica"
"1439",-116.3086364,37.21713597,"synthetica"
"5507",-116.2633665,33.9855164,"synthetica"
"5376",-116.2849081,34.01242555,"synthetica"
"5170",-116.2685085,34.05313568,"synthetica"
"5017",-116.2614602,34.1018454,"synthetica"
"1393",-116.2630903,36.84739581,"synthetica"
"1403",-116.2555079,36.87030206,"synthetica"
"1406",-116.2717226,36.92383092,"synthetica"
"1448",-116.2904362,37.21859234,"synthetica"
"5643",-116.2141399,33.94408662,"synthetica"
"5494",-116.2221695,33.98877281,"synthetica"
"5190",-116.2240965,34.04692528,"synthetica"
"5035",-116.2392959,34.0798922,"synthetica"
"1401",-116.2279854,36.7629709,"synthetica"
"1421",-116.2246384,36.84008511,"synthetica"
"1429",-116.2207575,36.87206079,"synthetica"
"1447",-116.2125321,36.90312439,"synthetica"
"1467",-116.2124233,36.99818365,"synthetica"
"1469",-116.2224878,37.02345604,"synthetica"
"1492",-116.2250883,37.09661893,"synthetica"
"5658",-116.1563954,33.93594039,"synthetica"
"5597",-116.1714421,33.96286113,"synthetica"
"5359",-116.1818418,34.02090286,"synthetica"
"5043",-116.1996993,34.06328761,"synthetica"
"1113",-116.1872564,36.73491235,"synthetica"
"1440",-116.1782908,36.79176528,"synthetica"
"1459",-116.1740429,36.84036506,"synthetica"
"1454",-116.1959242,36.89870967,"synthetica"
"1512",-116.1605706,36.92940295,"synthetica"
"1506",-116.1871994,36.99432192,"synthetica"
"1546",-116.1572197,37.00295184,"synthetica"
"1570",-116.1637026,37.09737249,"synthetica"
"1595",-116.1626275,37.12189658,"synthetica"
"5722",-116.1127816,33.87987227,"synthetica"
"5654",-116.1236964,33.93619901,"synthetica"
"5596",-116.104608,33.96432381,"synthetica"
"5187",-116.1183569,34.04699718,"synthetica"
"1507",-116.1118209,36.77832633,"synthetica"
"1541",-116.1081608,36.84815859,"synthetica"
"1557",-116.1115766,36.88469412,"synthetica"
"1528",-116.1469949,36.94565305,"synthetica"
"1587",-116.1272714,36.97983207,"synthetica"
"1651",-116.1042148,37.0283468,"synthetica"
"1652",-116.1130599,37.07065317,"synthetica"
"1641",-116.1439382,37.1303234,"synthetica"
"5745",-116.0539009,33.84749893,"synthetica"
"5719",-116.0717346,33.87875946,"synthetica"
"5675",-116.0840871,33.9180387,"synthetica"
"5462",-116.0856615,33.99287316,"synthetica"
"5399",-116.0543817,34.00862224,"synthetica"
"1517",-116.0970174,36.76080435,"synthetica"
"1574",-116.0809747,36.81181827,"synthetica"
"1642",-116.0735095,36.89624668,"synthetica"
"1644",-116.0767483,36.90883797,"synthetica"
"1662",-116.0720953,36.95943867,"synthetica"
"1668",-116.0883359,37.03163888,"synthetica"
"1683",-116.0869955,37.06521935,"synthetica"
"1724",-116.0552014,37.2113286,"synthetica"
"5757",-116.0437052,33.84406946,"synthetica"
"5742",-116.0117295,33.86223361,"synthetica"
"5683",-116.02676,33.91142416,"synthetica"
"5621",-116.0371405,33.95575135,"synthetica"
"5416",-116.0170838,34.0039174,"synthetica"
"1654",-116.0395886,36.83876958,"synthetica"
"1702",-116.0084906,36.86507979,"synthetica"
"1713",-116.0053901,36.92273954,"synthetica"
"3014",-116.0017775,37.03395183,"synthetica"
"3018",-116.00321,37.06357173,"synthetica"
"3092",-116.0007164,37.12368466,"synthetica"
"3093",-116.0168501,37.16265834,"synthetica"
"3025",-116.0451403,37.21222507,"synthetica"
"1077",-115.999745,34.001855,"synthetica"
"1688",-115.9836615,36.69927824,"synthetica"
"1689",-115.9838461,36.71322518,"synthetica"
"1708",-115.9961096,36.84291231,"synthetica"
"1714",-115.977272,36.86809609,"synthetica"
"1721",-115.9789185,36.92437048,"synthetica"
"3010",-115.982811,36.96250469,"synthetica"
"3013",-115.9948099,37.02301934,"synthetica"
"3080",-115.9780606,37.05322368,"synthetica"
"3090",-115.9970146,37.10641798,"synthetica"
"3173",-115.9846192,37.16934532,"synthetica"
"3196",-115.9816541,37.21183981,"synthetica"
"1097",-115.9250157,35.48809824,"antithetica"
"1711",-115.9412329,36.68949303,"synthetica"
"1718",-115.9369358,36.77013982,"synthetica"
"3057",-115.9384584,36.88371485,"synthetica"
"3058",-115.9493588,36.9089727,"synthetica"
"3162",-115.9340633,36.99700549,"synthetica"
"3182",-115.9377573,37.04559124,"synthetica"
"3185",-115.9375175,37.05933164,"synthetica"
"3204",-115.940912,37.12219004,"synthetica"
"3228",-115.9284585,37.18846117,"synthetica"
"3227",-115.943767,37.22011694,"synthetica"
"1099",-115.8557285,35.38525518,"antithetica"
