"x","y","value"
4512575.56707948,20703583.8175266,3090.05004883
4496288.73482382,20665735.1255076,2882.69995117
4511167.75624682,20595108.2398587,2814.37011719
4535673.90178823,20686916.1097203,2958.14990234
4457358.00953582,20668882.5486747,2945.87011719
4562197.2529409,20649986.3472939,2774.69995117
4541982.83372415,20627336.4486962,2784.62988281
4448513.41502032,20668398.5033829,2940.35009766
4555685.2049414,20624249.4194372,2754.48999023
4462636.85363691,20642496.0692955,2965.25
